"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period4-5Vio,Period4-5NonVio,Period4-5VForOp,Period4-5Senior,Period4-5Gun,Period4-5IED_C,Period4-5IED_P,Period4-5ForOp,Period4-5Rob
ZF1192,0,0,99999,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1194,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1196,0,0,99999,35,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1197,1,0,99999,27,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF1198,0,0,99999,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1200,1,0,1,23,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1202,0,0,99999,24,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1203,0,0,99999,25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF1204,0,0,99999,24,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF121,0,0,1,37,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1214,0,0,1,18,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1217,0,1,99999,21,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF122,0,0,99999,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1226,1,1,1,22,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1227,1,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1234,0,0,99999,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ZF1238,0,0,0,26,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
ZF1239,0,0,99999,24,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
ZF124,0,0,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1243,0,0,99999,24,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF1244,0,0,99999,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
