"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period4-5Vio,Period4-5NonVio,Period4-5VForOp,Period4-5Senior,Period4-5Gun,Period4-5IED_C,Period4-5IED_P,Period4-5ForOp,Period4-5Rob
ZF77,1,0,1,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF775,0,0,99999,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF777,0,0,99999,34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF783,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF785,0,0,99999,27,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF786,0,0,99999,43,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ZF787,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF788,0,0,1,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF789,0,0,99999,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF792,0,0,0,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF793,0,0,99999,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF796,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF797,0,0,99999,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF801,0,0,1,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF802,0,0,1,28,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF804,0,0,99999,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF81,0,0,99999,40,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF814,0,0,99999,24,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF828,0,0,99999,30,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF837,0,0,99999,20,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF847,0,0,99999,22,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF855,0,0,99999,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF861,0,0,99999,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF865,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF867,0,0,99999,27,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF869,0,0,99999,26,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF87,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF870,0,0,1,22,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
ZF875,0,0,99999,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF876,0,0,99999,22,99999,99999,99999,99999,99999,99999,1,0,1,0,1,0,1,1,0
ZF879,0,0,99999,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF882,0,0,0,15,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
ZF888,0,0,99999,34,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF889,0,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF893,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF9,1,0,1,19,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
ZF900,0,0,99999,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF909,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF910,0,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF911,0,0,99999,25,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF912,0,0,99999,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF913,0,0,99999,19,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF916,1,0,1,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF917,0,0,1,23,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF92,0,0,1,33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ZF923,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF928,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF938,0,0,99999,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF948,0,0,1,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF955,0,0,99999,32,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
ZF963,0,0,99999,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF968,0,0,99999,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF97,0,0,99999,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF977,0,0,1,30,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF98,0,0,99999,25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF981,0,1,1,54,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF982,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF985,0,1,99999,20,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
ZF997,0,0,99999,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF998,0,0,1,29,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF999,0,0,1,22,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZFM264,0,0,1,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ZFM53,0,0,99999,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZFM619,0,0,99999,20,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZFM658,0,0,99999,35,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ZFM671,0,0,99999,44,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ZFM672,1,0,99999,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM673,1,0,1,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ZFM674,0,0,99999,22,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZFM679,0,0,99999,30,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZFM681,0,0,99999,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM795,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZFM815,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
