"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Period1Vio,Period1NonVio,Period1VForOp,Period1Senior,Period1Gun,Period1IED_C,Period1IED_P,Period1ForOp,Period1Rob
ZF129,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1294,0,0,99999,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1302,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF1304,0,0,1,34,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1318,0,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1320,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1322,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1328,0,0,0,27,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF133,0,0,99999,99999,0,1,0,0,0,1,0,0,1,0,1,0,0,0
ZF1335,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1338,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1340,0,0,99999,34,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1341,0,0,99999,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZF1343,0,0,1,38,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1356,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1365,0,0,99999,26,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ZF1366,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1367,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1377,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1379,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1380,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF140,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF143,0,0,99999,26,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF15,0,0,99999,18,99999,99999,99999,99999,99999,1,0,0,0,0,0,1,0,0
ZF151,0,0,99999,27,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF152,0,0,99999,21,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF154,0,0,99999,19,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF155,0,0,99999,19,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF156,0,0,99999,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF157,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF164,0,0,99999,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF172,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF176,0,0,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF190,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF194,0,0,1,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF195,0,0,99999,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF197,1,0,99999,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF20,0,0,99999,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF206,1,0,0,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF208,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF213,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF214,0,0,0,19,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF217,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF219,0,0,99999,99999,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ZF222,0,0,99999,19,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF237,0,0,99999,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF24,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF248,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF251,0,0,99999,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF257,0,0,99999,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF260,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF261,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF267,0,0,0,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF268,0,0,99999,22,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF273,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF276,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF28,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF287,0,0,99999,36,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF288,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF29,0,0,1,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF290,0,0,99999,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF297,1,0,99999,45,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF3,0,0,1,21,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ZF305,0,0,1,29,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF309,0,0,99999,27,0,0,0,0,0,1,0,1,1,0,0,1,1,0
ZF312,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF315,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF317,0,0,1,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF318,1,0,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF32,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF321,0,0,99999,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF328,0,0,99999,21,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF335,0,0,0,19,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF340,1,0,0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF345,0,1,99999,21,1,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF348,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF349,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF351,0,0,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF358,0,0,0,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF361,0,0,99999,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF362,0,0,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF363,0,0,99999,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF364,0,0,99999,27,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF366,1,0,0,17,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF370,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF371,0,0,99999,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF374,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF378,0,0,99999,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF381,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF385,0,0,99999,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF389,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF396,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF40,0,0,99999,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF406,0,0,99999,22,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF407,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF41,1,0,0,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0
