"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period6Vio,Period6NonVio,Period6VForOp,Period6Senior,Period6Gun,Period6IED_C,Period6IED_P,Period6ForOp,Period6Rob
ZF367,0,0,99999,42,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF385,0,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF407,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF411,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF418,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF421,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF434,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF471,0,0,99999,25,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
ZF481,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF488,0,0,1,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF494,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF520,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF529,0,0,1,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF579,0,1,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF587,0,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF591,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF659,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF665,0,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF678,0,0,1,20,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF743,0,0,99999,28,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ZF744,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF748,0,0,1,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ZF755,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF788,0,0,1,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF793,0,0,99999,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF801,0,0,1,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF870,0,0,1,22,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
ZF874,0,0,99999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF882,0,0,0,15,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
ZF898,0,0,99999,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF945,1,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF948,0,0,1,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF97,0,0,99999,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZFM264,0,0,1,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
