"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period2Vio,Period2NonVio,Period2VForOp,Period2Senior,Period2Gun,Period2IED_C,Period2IED_P,Period2ForOp,Period2Rob
ZF272,0,0,99999,27,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF273,0,0,0,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF287,0,0,99999,36,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF288,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF297,1,0,99999,45,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF3,0,0,1,21,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ZF303,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF304,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF311,0,0,99999,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF312,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF328,0,0,99999,21,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF340,1,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF343,0,0,0,18,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF345,0,1,99999,21,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF349,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF356,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF37,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF370,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF371,0,0,99999,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF372,0,0,99999,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF374,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF378,0,0,99999,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF381,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF385,0,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF390,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF392,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF394,0,0,1,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF395,0,0,99999,22,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,0,0
ZF396,0,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZF399,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF406,0,0,99999,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF407,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF409,1,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF410,0,0,99999,21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF414,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF415,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF418,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF420,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF421,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF422,0,0,1,46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ZF423,1,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF428,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF434,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF442,0,1,99999,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF444,0,0,0,19,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1
ZF445,0,1,0,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF447,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF45,0,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF452,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF455,0,0,99999,25,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF456,0,0,0,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF459,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF46,0,0,0,29,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF474,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF478,0,0,1,16,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
ZF479,0,0,1,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF481,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF484,1,0,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF488,0,0,1,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF493,0,0,99999,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF501,0,0,99999,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF504,0,0,99999,21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF524,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF529,0,0,1,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF533,0,0,0,18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF535,0,0,99999,18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF55,0,0,99999,21,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF578,0,0,99999,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF579,0,1,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF58,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF580,1,0,99999,43,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ZF584,0,0,99999,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF587,0,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF588,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF591,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF594,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF604,0,0,99999,39,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
ZF614,0,0,99999,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF615,0,0,99999,28,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ZF616,0,0,99999,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF628,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF637,0,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF638,0,0,99999,45,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF64,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF641,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF643,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF644,0,0,1,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF648,0,0,99999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF649,0,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF65,0,0,99999,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF653,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF658,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF659,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF665,0,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF678,0,0,1,20,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF679,0,0,1,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF690,0,0,99999,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF699,0,0,99999,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF703,0,0,1,28,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF71,0,0,1,25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF713,0,0,1,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF724,0,0,1,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF738,0,0,99999,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF752,0,0,99999,26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF755,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF764,1,0,99999,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF770,0,0,1,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF788,0,0,1,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF790,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF795,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF798,0,0,99999,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF801,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF803,0,0,1,24,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF806,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF807,0,0,99999,22,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF817,0,0,0,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF82,0,1,1,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF821,0,0,0,16,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
ZF837,0,0,99999,20,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF852,0,0,99999,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF856,0,0,99999,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF857,0,1,0,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ZF858,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF859,0,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF863,0,0,99999,26,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF870,0,0,1,22,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF871,0,0,99999,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF877,0,0,1,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF879,0,0,99999,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF882,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
ZF885,0,0,99999,24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF889,0,0,1,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF893,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF896,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF903,0,0,99999,19,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
ZF909,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF910,0,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF922,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF923,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF928,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF931,0,0,99999,33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF935,0,0,99999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF936,0,0,99999,17,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ZF937,0,0,99999,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ZF947,0,0,99999,25,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
ZF952,0,0,1,29,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF958,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF964,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF966,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF97,0,0,99999,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF971,0,0,1,24,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF981,0,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF982,0,0,0,19,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
ZF988,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF989,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF997,0,0,99999,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZFM215,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZFM222,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM264,0,0,1,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ZFM450,0,1,99999,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM539,0,0,99999,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM540,0,0,99999,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM795,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ZFM815,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
