"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period3Vio,Period3NonVio,Period3VForOp,Period3Senior,Period3Gun,Period3IED_C,Period3IED_P,Period3ForOp,Period3Rob
ZF1155,0,0,1,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF116,0,0,99999,26,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1160,0,0,1,29,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ZF1161,0,0,99999,17,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ZF1164,1,0,99999,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
ZF1166,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1169,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1172,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1174,0,0,1,20,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1187,0,0,99999,15,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ZF1188,0,1,99999,22,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
ZF1189,0,0,99999,23,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF1190,1,1,99999,22,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1194,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1196,0,0,99999,35,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1197,1,0,99999,27,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF1198,0,0,99999,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1199,1,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF12,0,0,0,21,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF1200,1,0,1,23,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1203,0,0,99999,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1204,0,0,99999,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1207,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1211,1,0,99999,33,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1213,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1219,0,0,99999,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1221,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1224,0,0,99999,18,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1225,0,0,99999,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1226,1,1,1,22,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1227,1,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1229,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1230,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1231,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1234,0,0,99999,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ZF1238,0,0,0,26,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
ZF1241,0,0,99999,24,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1248,0,0,99999,24,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF1249,0,0,99999,25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ZF1256,1,1,99999,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF1264,0,1,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1266,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1268,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF1274,0,1,0,26,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
ZF1276,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1280,0,0,99999,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF1283,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1285,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1286,0,0,99999,17,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1292,1,0,1,24,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF1293,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1294,0,0,99999,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1295,0,0,0,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1298,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1299,0,0,0,21,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF13,0,0,1,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1301,0,0,0,28,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
ZF1305,0,0,1,19,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1
ZF1308,0,0,0,35,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF1312,0,0,1,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1314,0,0,99999,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF132,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1321,0,0,99999,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1322,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1330,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1332,0,0,99999,40,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,1,0,0
ZF1336,0,0,99999,16,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
ZF134,0,0,99999,27,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ZF1340,0,0,99999,34,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1344,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1346,0,0,1,21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF1347,0,0,99999,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1348,0,0,99999,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1350,0,0,1,28,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
ZF1352,0,0,99999,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF1353,0,0,99999,20,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
ZF1354,0,0,99999,22,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1356,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1357,0,0,99999,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF1358,0,0,1,18,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF1359,0,0,0,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF1362,0,0,0,19,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
ZF1363,0,0,99999,23,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF1364,0,0,99999,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1367,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1368,0,0,1,27,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF1371,0,0,99999,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1374,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF1375,0,0,1,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF1379,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF139,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF14,0,0,99999,20,99999,99999,99999,99999,99999,99999,1,0,0,0,1,0,0,0,0
ZF140,0,1,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF141,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF144,0,0,99999,99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF148,0,0,99999,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF149,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF150,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF155,0,0,99999,19,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF156,0,0,99999,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF160,0,0,99999,25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
ZF163,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF171,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF176,0,0,0,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF178,0,0,99999,25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF179,0,0,99999,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF180,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF182,0,0,99999,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF184,0,0,99999,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF188,0,0,99999,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF19,0,0,99999,32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF190,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF191,0,1,1,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF196,0,0,99999,29,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF198,0,0,0,27,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF21,0,0,99999,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF210,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF211,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF216,0,0,99999,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ZF217,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF22,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF220,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF221,0,0,0,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF223,0,0,0,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF228,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF23,0,0,99999,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF231,0,0,99999,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF234,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF235,0,1,99999,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF238,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF240,0,0,1,15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF241,1,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF245,0,0,99999,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ZF247,0,0,99999,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF248,0,0,0,16,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF249,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF25,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF250,0,0,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF251,0,0,99999,22,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF254,0,0,0,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF262,0,0,1,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF263,0,0,0,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF264,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF266,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF267,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF268,0,0,99999,22,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF269,0,0,99999,32,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF271,0,0,0,20,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF272,0,0,99999,27,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF273,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF274,1,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF286,0,0,99999,32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF288,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF29,0,0,1,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF291,0,0,99999,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF292,0,0,99999,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF293,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF295,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF298,0,0,0,19,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF3,0,0,1,21,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ZF30,0,0,99999,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZF303,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF304,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF311,0,0,99999,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF312,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF316,1,0,1,23,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF324,0,0,99999,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF325,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF328,0,0,99999,21,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF330,0,1,99999,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF331,0,0,1,24,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
ZF334,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF336,0,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
